Date,Regulation Title,Regulatory Body,Description,Impact,Litigation Risk,Corporate Governance,Proprietary Costs,Information Asymmetry,Unsophisticated Investors,Equity Issuance,Reputation Risk,References,Year,UpdatedLink,,
9/1/2017,Securities and Exchange Act  Mauritius,Financial Services Commission FSC,"Comprehensive securities legislation governing securities offerings, investment services, disclosure requirements, and market conduct rules","Enhanced securities market development, improved investor protection, strengthened regulatory framework for securities transactions",Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.fscmauritius.org/media/95288/securitiesact2005.pdf,2017,https://www.fscmauritius.org/media/67412/the-securities-act.pdf,, 
7/3/2017,Financial Markets Conduct Act  New Zealand,Financial Markets Authority FMA,Comprehensive reform of securities and financial markets regulation,"Enhanced investor protection, improved market conduct, strengthened enforcement",Yes,Yes,No,Yes,Yes,Yes,Yes,https://www.fma.govt.nz/assets/Reports/FMCActGuide.pdf,2017,https://www.legislation.govt.nz/regulation/public/2017/0181/12.0/DLM7383601.html,, 
7/3/2017,Payment Services Directive 2 PSD2  European Union,European Banking Authority EBA,"Regulation of payment services and payment service providers, including fintech companies","Enhanced competition in payment services, improved consumer protection, open banking requirements",Yes,Yes,Yes,Yes,Yes,No,Yes,https://eurlex.europa.eu/legalcontent/EN/TXT/?uri=celex%3A32015L2366,2017,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32015L2366,, 
4/1/2017,Banking Executive Accountability Regime BEAR  Australia,Australian Prudential Regulation Authority APRA,Individual accountability framework for senior executives in banking,"Enhanced personal accountability, improved governance, clearer responsibility allocation",Yes,Yes,No,Yes,Yes,No,Yes,https://www.apra.gov.au/sites/default/files/aps_511_final_0.pdf,2017,"https://www.apra.gov.au/sites/default/files/2020-12/BEAR%20information%20paper%20December%202020.pdf#:~:text=The%20Banking%20Executive%20Accountability%20Regime%20(BEAR)%20is,July%202019%20for%20medium%20and%20small%20ADIs.",, 
1/3/2017,Packaged Retail and Insurancebased Investment Products PRIIPs Regulation  European Union,European Securities and Markets Authority ESMA,Standardized disclosure requirements for packaged investment products sold to retail investors,"Enhanced transparency for retail investors, standardized risk and cost disclosure",No,No,Yes,Yes,Yes,No,No,https://eurlex.europa.eu/legalcontent/EN/TXT/?uri=CELEX%3A32014R1286,2017,https://eur-lex.europa.eu/eli/reg_del/2017/653/oj/eng,, 
8/1/2016,Capital Markets Law  Oman,Capital Market Authority CMA,"Comprehensive securities legislation governing public offerings, securities trading, disclosure obligations, and regulation of capital market participants","Enhanced securities market infrastructure, improved investor protection, strengthened regulatory framework for securities transactions",Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.cma.gov.om/Home/CMSDocumentLibrary/tabid/57/Default.aspx,2016,https://fsa.gov.om/Home/News/6193,, 
6/8/2016,Market Abuse Regulation MAR  European Union,European Securities and Markets Authority ESMA,"Enhanced rules on insider dealing, unlawful disclosure of inside information, and market manipulation","Strengthened market integrity, increased penalties for market abuse, enhanced surveillance",Yes,Yes,No,Yes,Yes,No,Yes,https://eurlex.europa.eu/legalcontent/EN/TXT/?uri=celex%3A32014R0596,2016,https://eur-lex.europa.eu/eli/reg/2014/596/oj/eng,, 
5/25/2016,General Data Protection Regulation GDPR  European Union,European Data Protection Board,Comprehensive data protection law affecting how financial services handle personal data of investors and clients,"Significant compliance costs for financial firms, enhanced privacy protection for investors",Yes,Yes,Yes,No,Yes,No,Yes,https://eurlex.europa.eu/eli/reg/2016/679/oj,2016,https://eurlex.europa.eu/eli/reg/2016/679/oj,, 
5/12/2016,Senior Managers and Certification Regime SM&CR  United Kingdom,Financial Conduct Authority FCA,Individual accountability regime for senior managers in financial services,"Enhanced personal accountability, improved governance, clearer responsibility allocation",Yes,Yes,No,Yes,Yes,No,Yes,https://www.fca.org.uk/publication/policy/ps1522.pdf,2016,https://www.fca.org.uk/publication/policy/ps18-14.pdf,, 
5/5/2016,Client Relationship Model Phase 2 CRM2  Canada,Canadian Securities Administrators CSA,"Enhanced disclosure requirements for investment costs, performance, and compensation","Improved transparency in investment costs, better informed investors, enhanced accountability",No,No,Yes,Yes,Yes,No,Yes,https://www.osc.ca/sites/default/files/pdfs/irps/csa_20120614_31103_crm2performancereporting.pdf,2016,https://www.osc.ca/sites/default/files/2021-01/iiroc_20150611_iiroc-notice-15-0128.pdf,, 
1/1/2016,Capital Markets Securities Act  Zimbabwe,Securities and Exchange Commission of Zimbabwe SECZ,"Comprehensive securities legislation governing securities offerings, trading, disclosure obligations, and regulation of capital market participants","Modernized securities regulation, enhanced market development, improved investor protection through strengthened disclosure requirements",Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.seczim.co.zw/capitalmarketssecuritiesact/,2016,https://zambialii.org/akn/zm/act/2016/41/eng@2016-12-27/source,, 
5/1/2015,Securities Act  Botswana,NonBank Financial Institutions Regulatory Authority NBFIRA,"Comprehensive securities legislation governing public offerings, securities trading, disclosure requirements, and regulation of securities market participants","Established modern securities regulatory framework, enhanced market development, improved investor protection through disclosure requirements",Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.nbfira.org.bw/sites/default/files/Securities%20Act%202005.pdf,2015,https://www.nbfira.org.bw/wp-content/uploads/2024/10/Botswana-Stock-Exchange-Transition-Act-2015.pdf,, 
9/26/2014,Financial Instruments and Exchange Act  India,Securities and Exchange Board of India SEBI,Comprehensive securities market regulation and investor protection framework,"Enhanced market integrity, improved investor protection, strengthened supervision",Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.sebi.gov.in/legal/regulations/jan2014/securitiesandexchangeboardofindiaact1992_25353.html,2014,https://www.sebi.gov.in/legal/regulations/jan-2014/sebi-investor-protection-and-education-fund-regulations-2009-as-amended-upto-january-9-2014-_27056.html,, 
6/1/2014,Stewardship Code  Japan,Financial Services Agency FSA,Principles for institutional investors to enhance corporate governance through engagement,"Improved corporate governance, enhanced shareholder engagement, better longterm value creation",No,Yes,No,Yes,No,No,Yes,https://www.fsa.go.jp/en/refer/councils/stewardship/20140407/01.pdf,2014,https://www.fsa.go.jp/en/refer/councils/stewardship/20140407/01.pdf,, 
6/1/2014,Securities and Investment Business Act  Barbados,Financial Services Commission FSC,"Comprehensive securities legislation governing securities offerings, investment advisory services, disclosure requirements, and market conduct rules","Modernized securities regulation framework, enhanced investor protection, improved market integrity and transparency",Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.fsc.gov.bb/Portals/0/Securities%20and%20Investment%20Business%20Act.pdf,2014,https://www.fsc.gov.bb/viewPDF/documents/2022-11-16-07-04-15-Securities-Act-Cap-318A-Regulations-SI-2010-No-138.pdf,, 
9/22/2013,Over the Counter Derivatives Regulation  Canada,Canadian Securities Administrators CSA,Comprehensive regulation of OTC derivatives markets including clearing and reporting,"Increased market transparency, reduced systemic risk, enhanced regulatory oversight",Yes,Yes,Yes,Yes,No,No,Yes,https://www.osc.ca/sites/default/files/pdfs/irps/csa_20130922_91506_derivativestradereporting.pdf,2013,https://www.osc.ca/sites/default/files/pdfs/irps/rule_20140103_91-506_derivatives-product-determination.pdf,, 
7/1/2013,Securities Act  Rwanda,Capital Market Authority CMA,"Securities law establishing requirements for public offerings, securities registration, disclosure obligations, and regulation of securities market participants","Established securities market framework, enhanced transparency in securities offerings, improved investor protection through mandatory disclosures",Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.cma.rw/fileadmin/user_upload/Legal_Framework/Laws/Securities_Act.pdf,2013,https://www.cma.rw/fileadmin/user_upload/law_regulating_capital_market_business_in_rwanda.pdf,, 
6/26/2013,Capital Requirements Directive IV CRD IV  European Union,European Banking Authority EBA,"Implementation of Basel III framework in EU, establishing capital requirements and governance standards for investment firms","Strengthened capital requirements, improved risk management, enhanced corporate governance",Yes,Yes,No,Yes,Yes,No,Yes,https://eurlex.europa.eu/legalcontent/EN/TXT/?uri=celex%3A32013L0036,2013,https://eur-lex.europa.eu/eli/dir/2013/36/oj/eng,, 
12/19/2012,Financial Services Act 2012  United Kingdom,Financial Conduct Authority FCA,"Reformed UK financial regulation structure, created FCA and PRA","Split prudential and conduct regulation, enhanced accountability, improved consumer protection",Yes,Yes,No,Yes,Yes,No,Yes,https://www.legislation.gov.uk/ukpga/2012/21/contents,2012,https://www.legislation.gov.uk/ukpga/2012/21/contents,, 
7/4/2012,European Market Infrastructure Regulation EMIR  European Union,European Securities and Markets Authority ESMA,"Regulation of overthecounter derivatives, central counterparties, and trade repositories","Increased transparency in derivatives markets, reduced systemic risk, higher compliance costs",Yes,Yes,Yes,Yes,No,No,Yes,https://eurlex.europa.eu/legalcontent/EN/TXT/?uri=CELEX%3A32012R0648,2012,https://eur-lex.europa.eu/eli/reg/2012/648/oj/eng,, 
7/1/2012,Securities Market Law  Laos,Securities and Exchange Commission of Laos SECL,"Securities law establishing framework for securities offerings, trading, disclosure requirements, and regulation of securities market participants","Established modern securities regulatory framework, enhanced market development, improved investor protection through disclosure requirements",Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.lsx.com.la/regulation/securitieslaw,2012,https://www.lsc.gov.la/Doc_legal/1.%20Law%20on%20Securites(Englist_version).pdf,, 
3/1/2012,Securities Exchange Act  Zambia,Securities and Exchange Commission SEC,"Securities law establishing framework for securities offerings, market operations, disclosure requirements, and regulation of market intermediaries","Enhanced securities market infrastructure, improved transparency in securities transactions, strengthened investor protection mechanisms",Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.seczambia.org.zm/downloads/SECURITIES%20ACT%20NO%2041%20OF%202016.pdf,2012,https://zambialii.org/akn/zm/act/2012/8/eng@2012-12-03/source,, 
12/1/2011,Capital Markets Act  Uganda,Capital Markets Authority CMA,"Comprehensive securities legislation governing public offerings, securities trading, disclosure requirements, and regulation of capital market intermediaries","Modernized securities regulation, enhanced market development, strengthened investor protection through disclosure and conduct rules",Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.cmauganda.co.ug/data/smenu/15/Capital%20Markets%20Act.pdf,2011,https://ulii.org/akn/ug/act/2011/12/eng@2011-07-08/source,, 
11/16/2011,Alternative Investment Fund Managers Directive AIFMD  European Union,European Securities and Markets Authority ESMA,Comprehensive regulation of alternative investment fund managers operating in the EU,"Increased regulatory oversight of hedge funds and private equity, enhanced investor protection",Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://eurlex.europa.eu/legalcontent/EN/TXT/?uri=CELEX%3A32011L0061,2011,https://eur-lex.europa.eu/eli/dir/2011/61/oj/eng,, 
7/21/2011,Capital Markets Law  Mexico,Comisión Nacional Bancaria y de Valores CNBV,Comprehensive securities market regulation and development framework,"Enhanced market development, improved investor protection, strengthened supervision",Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.cnbv.gob.mx/Normatividad/Ley%20del%20Mercado%20de%20Valores.pdf,2011,https://www.cnbv.gob.mx/Normatividad/Ley%20del%20Mercado%20de%20Valores.pdf,, 
9/1/2010,Securities Act  Sri Lanka,Securities and Exchange Commission of Sri Lanka SEC,"Securities law establishing framework for securities offerings, trading, disclosure requirements, and regulation of securities market participants","Enhanced securities market development, improved transparency in securities offerings, strengthened investor protection mechanisms",Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.sec.gov.lk/legislations/securitiesandexchangecommissionofsrilankaact/,2010,https://www.sec.gov.lk/asset/pdf/SECURITIES-AND-EXCHANGE-COMMISSION-OF-SRI-LANKA-AMENDMENT-ACT-NO-47-OF-20091.pdf,, 
6/28/2010,Future of Financial Advice FOFA Reforms  Australia,Australian Securities and Investments Commission ASIC,"Enhanced consumer protection in financial advice, including best interests duty","Improved advice quality, reduced conflicts of interest, enhanced consumer protection",Yes,No,No,Yes,Yes,No,Yes,https://download.asic.gov.au/media/1241018/rg175published1july2013.pdf,2010,https://www.asic.gov.au/regulatory-resources/financial-services/regulatory-reforms/future-of-financial-advice-fofa-reforms/,, 
4/1/2010,Securities Law  Jordan,Jordan Securities Commission JSC,"Securities law establishing framework for securities offerings, trading, disclosure requirements, and regulation of securities market participants","Enhanced securities market infrastructure, improved transparency in securities offerings, strengthened investor protection mechanisms",Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.jsc.gov.jo/legislations/securitieslaw,2010,https://www.jsc.gov.jo/Uploads/Files/Islamic%20Finance%20Sukuk%20law%20no%2030%202012.pdf,, 
1/1/2010,Securities Market Code  France,Autorité des Marchés Financiers AMF,Consolidated securities regulation incorporating EU directives,"Harmonized securities regulation, enhanced market integrity, improved investor protection",Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.amffrance.org/en/regulation/policy/doc201916,2010,https://www.amf-france.org/sites/institutionnel/files/private/2021-03/RG_EN_20121001_20121010.pdf,, 
11/1/2009,Financial Market Supervision Act  Switzerland,Swiss Financial Market Supervisory Authority FINMA,Comprehensive financial market regulation and supervision framework,"Enhanced regulatory oversight, improved market integrity, strengthened enforcement",Yes,Yes,No,Yes,Yes,Yes,Yes,https://www.finma.ch/en/~/media/finma/dokumente/dokumentencenter/myfinma/1bewilligung/fintech/wegleitungbewilligungspraxisfintech.pdf,2009,https://www.fedlex.admin.ch/eli/cc/2008/736/en,, 
5/1/2009,Securities Law  Cambodia,Securities and Exchange Regulator of Cambodia SERC,"Comprehensive securities legislation governing securities offerings, investment services, disclosure requirements, and market conduct rules","Enhanced securities market development, improved investor protection, strengthened regulatory framework for securities transactions",Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.serc.gov.kh/english/laws_regulations.php,2009,https://www.serc.gov.kh/boards/data_dir/m23Prakas_k/100030_1.pdf,, 
1/1/2009,Securities Industry Act  Trinidad and Tobago,Trinidad and Tobago Securities and Exchange Commission TTSEC,"Securities law establishing requirements for securities offerings, registration of market participants, disclosure obligations, and investor protection measures","Enhanced securities market regulation, improved transparency in securities transactions, strengthened regulatory oversight",Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.ttsec.org.tt/portals/0/Documents/Legislation/Securities%20Industry%20Act%202012.pdf,2009,https://attic.org.tt/wp-content/uploads/2022/12/The-Securities-Act-2012.pdf,, 
11/1/2008,Securities Exchange Act  Nepal,Securities Board of Nepal SEBON,"Comprehensive securities legislation governing public offerings, securities trading, disclosure obligations, and regulation of capital market participants","Enhanced securities market infrastructure, improved investor protection, strengthened regulatory framework for securities transactions",Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.sebon.gov.np/uploads/files/Securities%20Act%202063.pdf,2008,https://www.sebon.gov.np/uploads/uploads/b5tK7DoS3x07ETX7Z8NnHVIun0lM6C8LlSo0S67L.pdf,, 
7/1/2008,Securities Market Act  Namibia,Namibia Financial Institutions Supervisory Authority NAMFISA,"Securities law establishing requirements for securities offerings, market operations, disclosure obligations, and regulation of securities service providers","Enhanced securities market regulation, improved transparency in securities transactions, strengthened regulatory oversight",Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.namfisa.com.na/page/securitiesact/,2008,https://www.namfisa.com.na/regulations/regulation-15-28/,, 
1/1/2008,Capital Markets Act  Spain,Comisión Nacional del Mercado de Valores CNMV,Comprehensive securities market regulation incorporating EU directives,"Enhanced market integrity, improved investor protection, strengthened supervision",Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.cnmv.es/DocPortal/Legislacion/en/ley_mercado_valores_ingles.pdf,2008,https://www.cnmv.es/DocPortal/Welcome/Complilation_of_relevant_legislation.pdf,, 
11/1/2007,Markets in Financial Instruments Directive MiFID  European Union,European Securities and Markets Authority ESMA,"Comprehensive framework for investment services and regulated markets across EU member states, establishing conduct of business rules and transparency requirements","Harmonized investment services regulation across EU, increased investor protection, enhanced market transparency",Yes,Yes,No,Yes,Yes,Yes,Yes,https://eurlex.europa.eu/legalcontent/EN/TXT/?uri=celex%3A32004L0039,2007,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:02007L0014-20131126,, 
11/1/2007,Markets in Financial Instruments Directive  Italy,Commissione Nazionale per le Società e la Borsa CONSOB,Implementation of MiFID requirements in Italian securities regulation,"Enhanced investor protection, improved market transparency, strengthened conduct rules",Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.consob.it/web/consobanditsactivities/lawsandregulations/mifid2,2007,https://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legislativo:2007-09-17;164,, 
8/1/2007,Financial Instruments and Exchange Act  Japan,Financial Services Agency FSA,Comprehensive securities regulation replacing previous Securities and Exchange Act,"Enhanced market integrity, improved investor protection, strengthened enforcement",Yes,Yes,No,Yes,Yes,Yes,Yes,https://www.fsa.go.jp/en/refer/legislation/fiel.pdf,2007,https://www.fsa.go.jp/en/news/2007/20071221/01.pdf,, 
4/1/2007,Securities and Exchange Ordinance  Bangladesh,Bangladesh Securities and Exchange Commission BSEC,"Comprehensive securities legislation governing securities offerings, investment services, disclosure requirements, and market conduct rules","Modernized securities regulation framework, enhanced investor protection, improved market integrity and transparency",Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.sec.gov.bd/slaws/Securities_and_Exchange_Ordinance_1969.pdf,2007,https://sec.gov.bd/slaws/SEC_-_dealer-_broker-auth_repr-_Rules_2000-14Aug08.pdf,, 
1/1/2007,Securities and Exchange Act  Ghana,Securities and Exchange Commission SEC,"Comprehensive securities law establishing framework for public offerings, securities trading, market intermediaries, and mandatory disclosure requirements for listed companies","Created modern securities market infrastructure, enhanced investor protection through disclosure requirements, established regulatory oversight of securities transactions",Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://sec.gov.gh/files/SecuritiesIndustryLaw2016Act929.pdf,2007,https://sec.gov.gh/wp-content/uploads/Securities-Industry-Laws/Securities_Industry_Act_2016_Act_929.pdf,, 
1/11/2006,Financial Services Law  Brazil,Comissão de Valores Mobiliários CVM,Comprehensive securities regulation and market development framework,"Enhanced market development, improved investor protection, strengthened supervision",Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.cvm.gov.br/legislacao/instrucoes/inst400.html,2006,https://www.gov.br/cvm/pt-br/assuntos/noticias/2006,, 
1/1/2006,Capital Market Law  Lebanon,Capital Markets Authority CMA,"Comprehensive securities legislation governing public offerings, securities trading, disclosure obligations, and regulation of investment service providers","Established modern securities regulatory framework, enhanced market development, improved investor protection through disclosure requirements",Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.cma.gov.lb/Subpage.aspx?pageid=9304,2006,https://www.cma.gov.lb/wp-content/uploads/2017/08/Law-No-706-Arabic.pdf,, 
10/27/2005,Securities Law  China,China Securities Regulatory Commission CSRC,Comprehensive securities market regulation and investor protection,"Enhanced market development, improved investor protection, strengthened supervision",Yes,Yes,Yes,Yes,Yes,Yes,Yes,http://www.csrc.gov.cn/pub/newsite/flb/flfg/bmgz/zh/gzlmfl/201012/t20101231_189040.html,2005,http://www.csrc.gov.cn/csrc_en/c102033/c1371261/content.shtml,, 
3/30/2005,National Instrument 31103 Registration Requirements  Canada,Canadian Securities Administrators CSA,Harmonized registration requirements for investment dealers and advisers across Canada,"Streamlined registration process, enhanced investor protection, improved regulatory efficiency",Yes,Yes,No,Yes,Yes,No,Yes,https://www.osc.ca/sites/default/files/pdfs/irps/csa_20050330_31103_registrationrequirements.pdf,2005,https://www.osc.ca/en/securities-law/instruments-rules-policies/3/33-506/amended-national-instrument-31-103-national-instrument-33-109-and-osc-rule-33-506,, 
3/1/2005,Securities Market Law  Myanmar,Securities and Exchange Commission of Myanmar SECM,"Securities law establishing requirements for securities offerings, market operations, disclosure obligations, and regulation of securities service providers","Established securities market framework, enhanced transparency in securities transactions, improved regulatory oversight",Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.secm.gov.mm/en/laws/securitiesexchangelaw,2005,https://servicetrade.gov.mm/service/law-detail/The%20Securities%20Exchange%20Law,, 
12/1/2004,Securities Market Law  Kuwait,Capital Markets Authority CMA,"Securities law establishing requirements for securities offerings, market operations, disclosure obligations, and regulation of securities market participants","Enhanced securities market regulation, improved transparency in securities transactions, strengthened regulatory oversight",Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.cma.gov.kw/en/web/cma/securitieslaw,2004,https://links.cisi.org/cisiweb2/docs/default-source/atp-portal/training-material/kuwait-rules-and-regulations/kuwait-rules-and-regulations-syllabus.pdf?sfvrsn=44a31002_4,, 
1/1/2004,Securities Industry Act  Brunei,Autoriti Monetari Brunei Darussalam AMBD,"Comprehensive securities legislation governing public offerings, securities trading, disclosure obligations, and regulation of capital market participants","Enhanced securities market infrastructure, improved transparency in securities offerings, strengthened investor protection mechanisms",Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.ambd.gov.bn/SitePages/Securities%20Industry%20Act.aspx,2004,"https://www.agc.gov.bn/AGC%20Images/LAWS/BLUV/AUTORITI%20MONETARI%20BRUNEI%20DARUSSALAM%20ORDER,%202010.pdf",, 
1/1/2003,Securities Market Law  Pakistan,Securities and Exchange Commission of Pakistan SECP,"Securities law establishing requirements for securities offerings, market operations, disclosure obligations, and regulation of securities market participants","Enhanced securities market regulation, improved transparency in securities transactions, strengthened regulatory oversight",Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.secp.gov.pk/document/securitiesact2015/,2003,https://www.secp.gov.pk/document/securities-act-2015/,, 
8/1/2002,Securities Market Law  Morocco,Moroccan Capital Market Authority AMMC,"Securities law establishing framework for securities offerings, trading, disclosure requirements, and regulation of investment service providers","Enhanced securities market development, improved transparency in securities transactions, strengthened investor protection mechanisms",Yes,Yes,Yes,Yes,Yes,Yes,Yes,https://www.ammc.ma/sites/default/files/Loi%204302%20version%20anglaise.pdf,2002,https://www.ammc.ma/sites/default/files/Loi%20n%C2%B0%2043-12.pdf,, 
1/30/2002,Sarbanes Oxley Equivalent  Canada National Instrument 52109,Canadian Securities Administrators CSA,Certification requirements for annual and interim filings by CEOs and CFOs,"Enhanced management accountability, improved financial reporting quality",Yes,Yes,No,Yes,Yes,No,Yes,https://www.osc.ca/sites/default/files/pdfs/irps/csa_20020130_52109_certdisclosure.pdf,2002,https://www.osc.ca/sites/default/files/pdfs/irps/cp_20020301_81-402_proposal.pdf,, 
